From,To,Weight,Impact Factor
MANAGE DECIS,MANAGE DECIS,231,1.396
J HEALTH SOC BEHAV,ANNU REV SOCIOL,30,5.404
GAMES CULT,GAMES CULT,49,1.109
J HEALTH PSYCHOL,PSYCHOL BULL,106,16.793
ALCOHOL ALCOHOLISM,ADDICT BEHAV,47,2.944
REV GEN PSYCHOL,PERS SOC PSYCHOL B,63,2.504
PSYCHIAT RES,SCAND J PSYCHOL,26,1.284
READ TEACH,J EDUC PSYCHOL,35,3.459
ORGAN SCI,INFORM ORGAN-UK,12,2.083
PERS SOC PSYCHOL B,PERS SOC PSYCHOL B,322,2.504
INT J COMMUN-US,COMMUN RES,102,3.021
ACM COMPUT SURV,ETHICS INF TECHNOL,11,1.500
INTERACT LEARN ENVIR,EDUC TECHNOL SOC,89,1.584
BMC HEALTH SERV RES,HEALTH CARE MANAGE R,49,1.921
IND MARKET MANAG,J MARKETING,605,5.318
PLOS ONE,AIDS EDUC PREV,65,1.671
CHILD YOUTH SERV REV,J AGGRESS MALTREAT T,18,0.547
TRANSPORT RES E-LOG,J CHOICE MODEL,6,1.162
EUR J SOC PSYCHOL,PERS SOC PSYCHOL B,137,2.504
PSYCHOL AESTHET CREA,INTELLIGENCE,27,2.982
CONSUMP MARK CULT,J MARKETING,19,5.318
INFORM DEV,TELEMAT INFORM,13,3.398
BRIT EDUC RES J,AM EDUC RES J,18,2.931
J OPER RES SOC,OPER RES,119,1.779
CRISIS,ARCH SUICIDE RES,35,1.901
SOC PSYCHOL QUART,ANNU REV SOCIOL,10,5.404
HUM FACTORS,TRAV HUMAIN,5,0.697
J PSYCHOSOM RES,PSYCHOTHER PSYCHOSOM,35,8.964
MOD LANG J,TESOL QUART,63,2.056
INFORM TECHNOL MANAG,STRATEGIC MANAGE J,17,4.461
PLOS ONE,EUR PSYCHIAT,100,3.123
NEW MEDIA SOC,YOUNG,5,0.707
PERSPECT PSYCHOL SCI,PSYCHOL BELG,6,0.806
J PSYCHOEDUC ASSESS,J PSYCHOEDUC ASSESS,65,1.034
J MEDIA ECON,J ADVERTISING,9,2.896
INT J LOGIST MANAG,INT J OPER PROD MAN,63,3.339
INT J COMMUN-US,INFORM COMMUN SOC,91,2.692
TRANSPORT RES D-TR E,INT J SHIP TRANS LOG,5,0.609
J CHOICE MODEL,ECONOMETRICA,24,3.379
J PERS SOC PSYCHOL,SOC PSYCHOL PERS SCI,52,1.883
PLOS ONE,EUR J PERSONALITY,50,3.707
PSYCHIAT RES,J TRAUMA STRESS,138,2.254
EDUC RESEARCHER,J EDUC RES,28,1.197
REM SPEC EDUC,J LEARN DISABIL-US,24,1.494
APPL NURS RES,J NURS SCHOLARSHIP,22,2.396
DISCOURSE PROCESS,J PRAGMATICS,42,0.918
BRIT J EDUC PSYCHOL,J EDUC PSYCHOL,120,3.459
CHILD YOUTH SERV REV,CHILD SOC,38,0.802
FRONT PSYCHOL,THEOR PSYCHOL,18,0.82
ADDICT BEHAV,J ADDICT NURS,3,0.400
JUSTICE Q,J CRIM LAW CRIM,23,0.919
BMC HEALTH SERV RES,CAN PUBLIC ADMIN,3,0.333
TIME SOC,SOC INDIC RES,10,1.743
BMC PUBLIC HEALTH,QUAL HEALTH RES,59,2.036
ASIAN J SOC PSYCHOL,PERS SOC PSYCHOL B,28,2.504
RES LANG SOC INTERAC,RES LANG SOC INTERAC,112,1.896
PSYCHOL RES-PSYCH FO,PSYCHON B REV,109,2.921
J KNOWL MANAG,HUM RESOUR DEV REV,10,1.795
CRIME DELINQUENCY,INT J OFFENDER THER,27,1.112
ARCH SUICIDE RES,J AFFECT DISORDERS,66,3.432
BASIC APPL SOC PSYCH,PSYCHOL BULL,32,16.793
LAW HUMAN BEHAV,J PERS SOC PSYCHOL,64,5.017
ALCOHOL ALCOHOLISM,ALCOHOL ALCOHOLISM,187,2.757
PLOS ONE,J PERS ASSESS,98,2.024
PUBLIC OPIN QUART,J PERS SOC PSYCHOL,34,5.017
J CONSUM PSYCHOL,PERS SOC PSYCHOL B,54,2.504
J BUS IND MARK,IND MARKET MANAG,339,3.166
J CLIN NURS,NURS HEALTH SCI,30,1.17
EDUC TECHNOL SOC,ETR&D-EDUC TECH RES,25,0.725
CAN J PSYCHIAT,PSYCHIAT SERV,53,2.888
ORGAN DYN,J APPL PSYCHOL,12,4.130
STUD PSYCHOL,STUD PSYCHOL,12,0.511
ECON MODEL,STATA J,20,1.092
PLOS ONE,PSYCHIAT CLIN N AM,27,2.172
INT J CONFL MANAGE,ACAD MANAGE J,67,7.417
J PSYCHOL COUNS SCH,J AUTISM DEV DISORD,18,3.321
CHILD YOUTH SERV REV,CHILD ABUSE REV,29,1.543
E M EKON MANAG,RES POLICY,20,4.495
INT J ENV RES PUB HE,J IMMIGR MINOR HEALT,24,1.314
J GAMBL STUD,INT J MENT HEALTH AD,73,1.179
J EDUC PSYCHOL,AM EDUC RES J,55,2.931
J MANAGE ORGAN,ACAD MANAGE REV,100,9.408
ADDICT BEHAV,ADDICT RES THEORY,25,1.324
INT J CONTEMP HOSP M,ASIA PAC J TOUR RES,29,1.051
J BUS IND MARK,J MARKETING RES,194,3.654
J R STAT SOC A STAT,SOCIOL METHOD RES,25,3.604
AM J SOCIOL,AM SOCIOL REV,200,4.4
J RES SCI TEACH,SCI EDUC,270,2.506
J HAPPINESS STUD,PERS INDIV DIFFER,127,2.005
ORGANIZATION,CULT ORGAN,17,0.489
J YOUTH ADOLESCENCE,J ADOLESCENCE,131,1.795
J GERONTOL B-PSYCHOL,J AGING HEALTH,35,2.168
RES LANG SOC INTERAC,DISCOURSE PROCESS,19,2.074
FRONT PSYCHOL,PSYCHIAT CLIN N AM,19,2.172
INT BUS REV,INT J MANAG REV,28,5.578
SUSTAINABILITY-BASEL,INT J MANAG REV,34,5.578
J CONSULT CLIN PSYCH,AM J PSYCHIAT,74,14.176
SEX RELATSH THER,PSYCHO-ONCOLOGY,17,3.095
J HOMEL SECUR EMERG,AM J PUBLIC HEALTH,5,3.858
COLL RES LIBR,J ACAD LIBR,65,1.287
J ASSOC INF SYST,INFORM MANAGE-AMSTER,34,3.317
NEW IDEAS PSYCHOL,NEW IDEAS PSYCHOL,36,1.723
J ADV NURS,NURS ETHICS,39,1.755
MEM COGNITION,PSYCHOL REV,152,7.638
CALIF MANAGE REV,ACAD MANAGE REV,19,9.408
J BUS-BUS MARK,IND MARKET MANAG,62,3.166
CAN J PSYCHIAT,J AFFECT DISORDERS,113,3.432
NEW MEDIA SOC,AM BEHAV SCI,27,1.311
J RES ADOLESCENCE,J ADOLESCENT RES,32,1.433
J ADOLESCENCE,J ADOLESCENT HEALTH,101,3.974
PLOS ONE,SOC FORCES,61,2.113
INT J MENT HEALTH NU,INT J NURS STUD,34,3.755
AM SOCIOL REV,ANNU REV SOCIOL,118,5.404
STUD EDUC EVAL,REV EDUC RES,33,5.263
REV LAT AM PSICOL,J ENVIRON PSYCHOL,11,3.494
J MARKETING RES,J PERS SOC PSYCHOL,140,5.017
J SUBST USE,PSYCHOL ADDICT BEHAV,48,2.543
EDUC MEAS-ISSUES PRA,PSYCHOMETRIKA,28,2.111
TEACH TEACH EDUC,PHI DELTA KAPPAN,41,0.23
INT J TOUR RES,INT J TOUR RES,109,1.857
COMPUT HUM BEHAV,SCHOOL PSYCHOL INT,19,1.012
INT J INF TECH DECIS,TECHNOL ECON DEV ECO,31,2.628
RES AGING,GERONTOLOGIST,58,3.505
INT J SOC PSYCHIATR,SOC PSYCH PSYCH EPID,79,2.922
J EDUC PSYCHOL,J EDUC PSYCHOL,401,3.459
PLOS ONE,OMEGA-J DEATH DYING,13,0.676
J LEADERSH ORG STUD,J APPL PSYCHOL,172,4.130
J MED INTERNET RES,PATIENT EDUC COUNS,130,2.429
CAN J ADM SCI,J MANAGE STUD,17,3.962
SOC SCI COMPUT REV,J COMPUT-MEDIAT COMM,18,4.113
SOC SCI J,AM SOCIOL REV,23,4.4
J ENG TECHNOL MANAGE,ORGAN SCI,52,2.691
PSYCHOL MUSIC,J RES MUSIC EDUC,127,0.895
J NEUROSCI PSYCHOL E,J PERS SOC PSYCHOL,9,5.017
SOC SCI COMPUT REV,INNOVATION-ABINGDON,6,0.811
J COLL STUDENT DEV,J DIVERS HIGH EDUC,7,1.029
J DRUG ISSUES,ADDICTION,39,5.789
J ADOLESCENCE,AUST J GUID COUNS,4,0.778
EUR ECON REV,ECON LETT,65,0.558
J LEADERSH ORG STUD,ACAD MANAGE J,113,7.417
TRANSPORT RES F-TRAF,J SAFETY RES,136,1.841
EXP CLIN PSYCHOPHARM,EXP CLIN PSYCHOPHARM,96,2.186
COMPR PSYCHIAT,PSYCHIAT INVEST,8,1.406
BEHAV MODIF,J ANXIETY DISORD,24,3.105
PRAX KINDERPSYCHOL K,CHILD ABUSE NEGLECT,21,2.293
J CONFLICT RESOLUT,J POLIT,53,1.938
EGIT BILIM,EURASIA J MATH SCI T,8,0.903
ANN BEHAV MED,PSYCHOL BULL,66,16.793
COMPUT HUM BEHAV,PERS INDIV DIFFER,237,2.005
CAN J PSYCHIAT,CAN J PSYCHIAT,207,3.420
INT J INTERCULT REL,EUR J SOC PSYCHOL,33,1.973
INT J BILINGUAL,LANG LEARN,33,2.079
J PSYCHOSOM RES,GEN HOSP PSYCHIAT,56,2.279
GROUP ORGAN MANAGE,GROUP ORGAN MANAGE,52,1.846
J CHILD FAM STUD,J ADOLESCENCE,119,1.795
J GEOGR HIGHER EDUC,HIGH EDUC RES DEV,29,1.206
INT J ENV RES PUB HE,J SAFETY RES,45,1.841
INTERACT STUD,COGNITION,28,3.414
INT J EDUC VOCAT GUI,J APPL PSYCHOL,17,4.130
DRUG ALCOHOL REV,J STUD ALCOHOL DRUGS,71,2.5
CURR PSYCHIAT REP,J CLIN PSYCHIAT,123,5.291
ORGAN RES METHODS,J MANAGE,39,7.733
J SMALL BUS MANAGE,ENTREP REGION DEV,57,1.776
PROD OPER MANAG,MANAGE SCI,618,2.822
STRESS HEALTH,INT J STRESS MANAGE,24,1.632
INT J ADVERT,PSYCHOL MARKET,82,2.000
J SOCIOL,J SOCIOL,30,0.841
GAME ECON BEHAV,REV ECON STUD,99,4.03
J INTELL DISABIL RES,RES DEV DISABIL,180,1.63
FRONT PSYCHIATRY,ADICCIONES,9,2.077
FRONT PSYCHOL,CHILD ADOL PSYCH MEN,12,1.538
ADMIN SCI QUART,STRATEGIC MANAGE J,67,4.461
J SEX RES,J HOMOSEXUAL,51,1.369
J MEM LANG,PSYCHON B REV,136,2.921
SOC SCI J,J POLIT,23,1.938
ASIAN J COMMUN,J MEDIA ECON,4,0.217
YOUNG,ANNU REV SOCIOL,6,5.404
J EXP SOC PSYCHOL,EUR REV SOC PSYCHOL,10,1.389
PERS REV,HUM RESOUR MANAGE R,34,2.368
J PSYCHOLINGUIST RES,J PSYCHOLINGUIST RES,79,0.66
ASIA-PAC EDUC RES,J PERS SOC PSYCHOL,31,5.017
S AFR J ECON MANAG S,S AFR J ECON MANAG S,25,0.261
ECON RES-EKON ISTRAZ,AM ECON REV,37,4.026
J ADV NURS,J NURS EDUC,59,0.957
ANN GEN PSYCHIATR,PSYCHIAT RES,15,2.528
HEALTH CARE MANAGE R,MED CARE RES REV,21,2.189
PLOS ONE,APPL RES QUAL LIFE,6,1.286
PSYCHOTHER PSYCH MED,J AFFECT DISORDERS,22,3.432
FOREIGN LANG ANN,APPL LINGUIST,23,3.593
EGIT BILIM,COMPUT EDUC,40,3.819
INT J SCI EDUC,CONTEMP EDUC PSYCHOL,56,2.877
SECUR J,J RES CRIME DELINQ,23,2.545
LEISURE STUD,J LEISURE RES,45,0.851
LEADERSHIP QUART,GROUP ORGAN MANAGE,32,1.846
PSYCHOL VIOLENCE,PSYCHOL VIOLENCE,117,2.192
J PERS SOC PSYCHOL,PSYCHOL SCI,274,5.667
ORGAN RES METHODS,PSYCHOMETRIKA,28,2.111
INFORM DEV,INF SYST E-BUS MANAG,7,1.723
J CHILD PSYCHOL PSYC,J ATTEN DISORD,35,3.378
Q J EXP PSYCHOL,PSYCHOL LEARN MOTIV,29,2.821
FRONT PSYCHOL,J SCHOOL PSYCHOL,78,3.000
MEDIA PSYCHOL,PRESENCE-TELEOP VIRT,29,0.75
POLIT ANAL,AM J POLIT SCI,120,5.044
HUM RESOUR MANAGE R,INT J HUM RESOUR MAN,102,1.650
INT J OPER PROD MAN,TOTAL QUAL MANAG BUS,58,1.368
J YOUTH ADOLESCENCE,J RES ADOLESCENCE,188,2.288
FAM BUS REV,ENTREP THEORY PRACT,219,4.916
J BUS RES,EUR MANAG J,72,2.481
J ADVERTISING RES,J ADVERTISING RES,221,2.034
EXP ECON,ECONOMETRICA,37,3.379
BEHAV PSYCHOL,J PERS SOC PSYCHOL,15,5.017
INT J HUM RESOUR MAN,ACAD MANAGE REV,255,9.408
SOC PSYCHOL QUART,AM J SOCIOL,35,3.088
MEMORY,J GEN PSYCHOL,11,0.872
PLOS ONE,J HEALTH ECON,95,2.373
PSYCHIAT RES,CRISIS,25,1.440
J PSYCHOL,J APPL PSYCHOL,116,4.130
APPL PSYCHOL-INT REV,J ORGAN BEHAV,59,3.607
MOTIV EMOTION,PERS SOC PSYCHOL B,108,2.504
DEV PSYCHOL,INT J BEHAV DEV,52,1.850
COMUNICAR,J MEDIA PSYCHOL-GER,4,1.057
PERS INDIV DIFFER,ARCH SEX BEHAV,77,2.720
J SCHOOL PSYCHOL,DEV PSYCHOL,35,3.228
HARVARD EDUC REV,J TEACH EDUC,10,2.984
J EXP PSYCHOL HUMAN,J EXP PSYCHOL HUMAN,669,2.287
INZ EKON,J BUS RES,23,3.354
APPL NURS RES,J NURS RES,11,0.944
AM ANTHROPOL,AM ANTHROPOL,92,1.58
CURR ISSUES TOUR,ANN TOURISM RES,354,3.194
EURASIA J MATH SCI T,INT J SCI EDUC,211,1.240
RBGN-REV BRAS GEST N,ACAD MANAGE REV,33,9.408
POLIT ANAL,J ECONOMETRICS,22,1.633
J VOCAT BEHAV,J OCCUP ORGAN PSYCH,47,3.139
DEVIANT BEHAV,SOC PROBL,38,1.684
J SUPPLY CHAIN MANAG,INT J OPER PROD MAN,34,3.339
IND MARKET MANAG,J SERV MANAGE,52,2.897
J APPL COMMUN RES,COMMUN MONOGR,22,1.738
J INDIVID DIFFER,J PERS SOC PSYCHOL,74,5.017
J ECON BEHAV ORGAN,PUBLIC CHOICE,43,0.788
QUAL MANAG HEALTH CA,NEW ENGL J MED,23,72.406
FRONT PSYCHOL,HUM NATURE-INT BIOS,44,2.661
EUR J SOC PSYCHOL,J PERS SOC PSYCHOL,334,5.017
PSYCHOL MEN MASCULIN,PSYCHOL MEN MASCULIN,200,1.957
CHILD DEV PERSPECT,PSYCHOL BULL,27,16.793
J INT BUS STUD,STRATEGIC MANAGE J,227,4.461
J EDUC PSYCHOL,PSYCHOL SCI,56,5.667
J SUBST USE,J SUBST ABUSE TREAT,65,2.868
INT REV RES OPEN DIS,COMPUT HUM BEHAV,58,3.435
E M EKON MANAG,TRANSFORM BUS ECON,14,0.556
IEEE T ENG MANAGE,J OPER MANAG,38,5.207
QUAL RES,INT J SOC RES METHOD,18,1.396
J SUBST USE,DRUG ALCOHOL DEPEN,181,3.222
PROF PSYCHOL-RES PR,J COUNS PSYCHOL,49,2.516
PLOS ONE,ANXIETY STRESS COPIN,28,2.042
DRUS ISTRAZ,CONTEMP EDUC PSYCHOL,10,2.877
BMC PUBLIC HEALTH,AIDS CARE,150,1.824
INT J SELECT ASSESS,HUM PERFORM,33,1.302
AM SOCIOL REV,ANN AM ACAD POLIT SS,24,2.118
RES SOCIAL WORK PRAC,SOC WORK,46,2.081
AM ANTHROPOL,CURR ANTHROPOL,39,1.925
EUR ECON REV,J PUBLIC ECON,90,1.538
INT J ENG EDUC,J COMPUT HIGH EDUC,5,1.440
BRIT J SOC PSYCHOL,PSYCHOL BULL,40,16.793
INT J PROD RES,OPER RES,323,1.779
CLOTH TEXT RES J,J BUS RES,11,3.354
PROF INFORM,COMUNICAR,19,2.212
J HEALTH PSYCHOL,SOC SCI MED,134,2.797
BMC PUBLIC HEALTH,STUD FAMILY PLANN,32,2.358
ETHOS,ETHOS,71,0.881
INZ EKON,EUR J MARKETING,20,1.333
J ADV NURS,RES THEOR NURS PRACT,8,0.432
J STUD INT EDUC,TEACH HIGH EDUC,11,0.814
LANG TEST,APPL LINGUIST,16,3.593
POLIT PSYCHOL,J PERS SOC PSYCHOL,197,5.017
AM J COMMUN PSYCHOL,J COMMUNITY APPL SOC,12,1.133
J EARLY ADOLESCENCE,SOC DEV,48,2.305
CLIN PSYCHOL REV,COGN BEHAV THERAPY,26,2.264
J AFFECT DISORDERS,BRIT J PSYCHIAT,778,6.347
J ECONOMETRICS,REV ECON STUD,99,4.03
DRUG ALCOHOL REV,J SUBST USE,16,0.77
BMJ OPEN,HEALTH SERV RES,106,3.089
J AGING STUD,AGEING SOC,72,1.386
J STRATEGIC INF SYST,KNOWL MAN RES PRACT,6,1.013
BRAIN COGNITION,BRAIN COGNITION,126,2.432
J AM GERIATR SOC,GERONTOLOGIST,123,3.505
STRUCT EQU MODELING,PSYCHOL BULL,59,16.793
PLOS ONE,MIDWIFERY,67,1.948
J COGN PSYCHOL,J EXP PSYCHOL LEARN,184,2.667
J AFFECT DISORDERS,BEHAV THER,74,3.434
J PSYCHOL,J PSYCHOL,13,1.642
ETHICS INF TECHNOL,SCI ENG ETHICS,11,2.229
SCAND J PSYCHOL,CHILD DEV,37,4.195
SAFETY SCI,ACCIDENT ANAL PREV,398,2.685
J COGN DEV,COGNITIVE DEV,40,1.444
J VOCAT BEHAV,J MANAGE,57,7.733
AM PSYCHOL,AM PSYCHOL,199,6.681
J MANAGE INFORM SYST,J MANAGE INFORM SYST,183,2.356
SOC COGNITION,PSYCHOL BULL,45,16.793
HEALTH EDUC J,HEALTH EDUC RES,31,1.816
J PSYCHOPATHOL BEHAV,PSYCHOL BULL,67,16.793
J ECON ISSUES,J ECON ISSUES,239,0.581
PLOS ONE,STUD FAMILY PLANN,70,2.358
J SEX RES,SEXUALITIES,35,0.922
ADV NURS SCI,ADV NURS SCI,34,0.683
MANAGE ORGAN REV,ADMIN SCI QUART,53,4.929
SCI COMMUN,J PERS SOC PSYCHOL,24,5.017
INT BUS REV,J INT BUS STUD,1038,5.869
READ WRIT,DISCOURSE PROCESS,24,2.074
J PUBLIC RELAT RES,J COMMUN,11,3.914
AM EDUC RES J,J EDUC PSYCHOL,36,3.459
S AFR J PSYCHOL,STRUCT EQU MODELING,25,3.097
INT J EDUC VOCAT GUI,J COUNS PSYCHOL,15,2.516
CHILD SOC,CHILD DEV,11,4.195
PHILOS PSYCHOL,PSYCHOL SCI,44,5.667
INFORM RES,ASLIB J INFORM MANAG,6,1.514
PERS SOC PSYCHOL B,REV GEN PSYCHOL,26,1.492
RES NURS HEALTH,INT J NURS STUD,23,3.755
POLIT ANAL,SOCIOL METHOD RES,18,3.604
J CHILD FAM STUD,EUR CHILD ADOLES PSY,63,3.295
COMPUT HUM BEHAV,MIS QUART,640,7.268
LONG RANGE PLANN,ACAD MANAGE REV,143,9.408
EPIDEMIOL PSYCH SCI,ACTA PSYCHIAT SCAND,52,6.79
EUR J PERSONALITY,J RES PERS,102,2.417
VIOLENCE VICTIMS,J PERS SOC PSYCHOL,53,5.017
J SERV MANAGE,J ACAD MARKET SCI,112,5.888
DISASTER PREV MANAG,INT J DISAST RISK RE,14,1.603
SCIENTOMETRICS,COLL RES LIBR,26,1.515
FRONT PSYCHOL,JPN PSYCHOL RES,18,0.531
JASSS-J ARTIF SOC S,PLOS ONE,18,2.806
NEUROREHABILITATION,DISABIL REHABIL,50,1.804
J DOC,J LIBR INF SCI,20,1.019
SCHOOL PSYCHOL QUART,AM PSYCHOL,26,6.681
SCHOOL PSYCHOL INT,SCHOOL PSYCHOL INT,128,1.012
TRANSPORT RES F-TRAF,HUM FACTORS,160,2.219
RAE-REV ADMIN EMPRES,RAE-REV ADMIN EMPRES,30,0.408
PSYCHOL VIOLENCE,J INTERPERS VIOLENCE,71,1.940
J ATTEN DISORD,J ABNORM CHILD PSYCH,151,3.615
COMPUT HUM BEHAV,J EXP EDUC,16,1.588
NURS EDUC TODAY,J NURS EDUC,332,0.957
ARCH SUICIDE RES,SUICIDE LIFE-THREAT,117,3.252
COGNITIVE THER RES,BEHAV RES THER,282,4.064
J PUBLIC ECON,Q J ECON,129,6.662
ENVIRONMENT,RISK ANAL,7,2.518
J MARRIAGE FAM,SOC FORCES,68,2.113
J FAM PSYCHOL,J SOC PERS RELAT,42,1.425
ELECTRON COMMER RES,MANAGE SCI,36,2.822
BODY IMAGE,SELF IDENTITY,26,1.463
TELEMAT INFORM,INF ECON POLICY,10,0.739
PSYCHOL ASSESSMENT,PSYCHOL ASSESSMENT,387,3.307
J RES PERS,PSYCHOL BULL,106,16.793
REV EDUC RES,AM EDUC RES J,47,2.931
SOC SCI INFORM,AM POLIT SCI REV,9,3.316
SOC JUSTICE RES,PERS SOC PSYCHOL B,34,2.504
FRONT PSYCHIATRY,ISR J PSYCHIATR REL,5,0.62
PERS SOC PSYCHOL REV,PSYCHOL BULL,75,16.793
J INT BUS STUD,INT BUS REV,52,2.476
HUM RESOUR MANAGE-US,PERS REV,26,1.427
J AUTISM DEV DISORD,DEV NEUROPSYCHOL,35,1.813
J BLACK STUD,J BLACK PSYCHOL,13,1.66
PSYCHOL SERV,J CONSULT CLIN PSYCH,44,4.593
PSYCHOL ASSESSMENT,J PERS SOC PSYCHOL,142,5.017
BASIC APPL SOC PSYCH,SCIENCE,23,37.205
MARIT ECON LOGIST,MARIT ECON LOGIST,50,0.939
EVAL HEALTH PROF,ADDICTION,10,5.789
AM ANN DEAF,J DEAF STUD DEAF EDU,77,1.783
J COMMUN HEALTH,J RURAL HEALTH,18,1.489
PLOS ONE,PSYCHOL SCI,816,5.667
J EXP CHILD PSYCHOL,EUR J DEV PSYCHOL,18,1.302
PORTA LINGUARUM,J SECOND LANG WRIT,15,1.591
SYST PRACT ACT RES,ADMIN SCI QUART,12,4.929
J FINANC,J FINANC,644,6.043
SERV IND J,SERV IND J,106,1.172
J FINANC MARK,J FINANC ECON,184,4.505
INF ECON POLICY,REV NETW ECON,5,0.5
J INT MARKETING,J MARKETING,152,5.318
J NURS RES,J NURS RES,34,0.944
INT J EAT DISORDER,INT J EAT DISORDER,760,3.567
FRONT PSYCHOL,J ABNORM CHILD PSYCH,129,3.615
TOP COGN SCI,PSYCHOL SCI,67,5.667
CAN J PUBLIC HEALTH,BMC PUBLIC HEALTH,33,2.265
J CHILD FAM STUD,CAN J BEHAV SCI,11,0.404
ADV NURS SCI,SOC SCI MED,16,2.797
J BUS RES,MARKET SCI,130,2.163
BMC MED EDUC,STUD HIGH EDUC,26,1.527
TRANSPORT POLICY,TRANSPORT RES REC,274,0.592
PLOS ONE,SCHIZOPHR RES,406,3.986
AM J PUBLIC HEALTH,J HEALTH CARE POOR U,25,0.916
SMALL GR RES,J ORGAN BEHAV,32,3.607
J SCHOOL HEALTH,J ADOLESCENT HEALTH,111,3.974
J BUS ETHICS,ACAD MANAGE J,572,7.417
SOC SCI MED,DEMOGRAPHY,132,2.802
J THEOR APPL EL COMM,STRATEGIC MANAGE J,12,4.461
TOP COGN SCI,J MEM LANG,47,3.065
RAE-REV ADMIN EMPRES,J CONSUM RES,29,3.800
ANN OPER RES,INTERFACES,30,0.579
ANN GEN PSYCHIATR,COMPR PSYCHIAT,14,2.194
J HAPPINESS STUD,APPL RES QUAL LIFE,8,1.286
PLOS ONE,CROSS-CULT RES,8,0.851
J SOC PERS RELAT,PSYCHOL BULL,42,16.793
APPL PSYCH MEAS,J APPL PSYCHOL,16,4.130
EXP PSYCHOL,J EXP PSYCHOL GEN,31,4.420
DEVIANT BEHAV,TYDSKR GEESTESWET,1,0.233
GROUP ORGAN MANAGE,J APPL PSYCHOL,147,4.130
JPN PSYCHOL RES,PSYCHOL SCI,25,5.667
SOC PSYCHOL-GERMANY,PERS SOC PSYCHOL REV,17,9.361
FRONT PSYCHOL,MOTIV EMOTION,118,2.067
NEUROPSYCHOLOGIA,CAN J EXP PSYCHOL,17,1.055
J KNOWL MANAG,ORGAN SCI,172,2.691
J CLIN PSYCHIAT,HARVARD REV PSYCHIAT,12,2.986
SELF IDENTITY,J EXP SOC PSYCHOL,74,2.159
RATION SOC,Q J ECON,10,6.662
BEHAV ANALYST,BEHAV ANALYST,59,0.971
J BUS RES,ORGAN SCI,415,2.691
PLOS ONE,J AFFECT DISORDERS,558,3.432
J SERV MANAGE,J RETAILING,94,3.772
CHILD YOUTH CARE FOR,EARLY CHILD RES Q,72,2.436
PROG COMM HLTH PARTN,ANNU REV PUBL HEALTH,23,10.228
INTERACT COMPUT,HUM-COMPUT INTERACT,37,4.667
POETICS,AM SOCIOL REV,64,4.4
COGNITIVE DEV,ANN PSYCHOL,5,0.358
READ TEACH,ELEM SCHOOL J,26,1.151
EUR REV APPL PSYCHOL,J EDUC PSYCHOL,16,3.459
