"","V1"
"J AGGRESS MALTREAT T",154
"TRANSPORT RES E-LOG",1278
"J CHOICE MODEL",74
"EUR J SOC PSYCHOL",982
"PSYCHOL AESTHET CREA",375
"INTELLIGENCE",1517
"CONSUMP MARK CULT",260
"INFORM DEV",771
"TELEMAT INFORM",664
"BRIT EDUC RES J",206
"AM EDUC RES J",949
"J OPER RES SOC",1818
"OPER RES",3191
"CRISIS",239
"ARCH SUICIDE RES",246
"SOC PSYCHOL QUART",278
"HUM FACTORS",1197
"TRAV HUMAIN",65
"J PSYCHOSOM RES",1681
"PSYCHOTHER PSYCHOSOM",571
"MOD LANG J",948
"TESOL QUART",750
"INFORM TECHNOL MANAG",170
"STRATEGIC MANAGE J",14258
"EUR PSYCHIAT",520
"NEW MEDIA SOC",1240
"YOUNG",86
"PERSPECT PSYCHOL SCI",1064
"PSYCHOL BELG",63
"J PSYCHOEDUC ASSESS",247
"J MEDIA ECON",63
"J ADVERTISING",1109
"INT J LOGIST MANAG",505
"INFORM COMMUN SOC",524
"TRANSPORT RES D-TR E",923
"INT J SHIP TRANS LOG",80
"ECONOMETRICA",5502
"SOC PSYCHOL PERS SCI",344
"EUR J PERSONALITY",740
"J TRAUMA STRESS",1194
"EDUC RESEARCHER",732
"J EDUC RES",276
"REM SPEC EDUC",193
"J LEARN DISABIL-US",840
"J NURS SCHOLARSHIP",272
"DISCOURSE PROCESS",303
"J PRAGMATICS",650
"BRIT J EDUC PSYCHOL",541
"CHILD SOC",108
"FRONT PSYCHOL",3515
"THEOR PSYCHOL",141
"J ADDICT NURS",34
"JUSTICE Q",885
"J CRIM LAW CRIM",81
"CAN PUBLIC ADMIN",72
"TIME SOC",99
"SOC INDIC RES",1720
"BMC PUBLIC HEALTH",781
"QUAL HEALTH RES",960
"ASIAN J SOC PSYCHOL",116
"RES LANG SOC INTERAC",401
"PSYCHOL RES-PSYCH FO",720
"PSYCHON B REV",3729
"J KNOWL MANAG",856
"HUM RESOUR DEV REV",137
"CRIME DELINQUENCY",483
"INT J OFFENDER THER",305
"J AFFECT DISORDERS",6522
"BASIC APPL SOC PSYCH",190
"LAW HUMAN BEHAV",665
"J PERS ASSESS",1200
"PUBLIC OPIN QUART",785
"J CONSUM PSYCHOL",732
"J BUS IND MARK",665
"J CLIN NURS",1445
"NURS HEALTH SCI",212
"ETR&D-EDUC TECH RES",377
"CAN J PSYCHIAT",562
"PSYCHIAT SERV",2333
"ORGAN DYN",176
"STUD PSYCHOL",45
"ECON MODEL",1010
"STATA J",244
"PSYCHIAT CLIN N AM",210
"INT J CONFL MANAGE",177
"J PSYCHOL COUNS SCH",2
"J AUTISM DEV DISORD",5595
"CHILD ABUSE REV",209
"E M EKON MANAG",79
"RES POLICY",5294
"J IMMIGR MINOR HEALT",365
"J GAMBL STUD",1115
"INT J MENT HEALTH AD",350
"J MANAGE ORGAN",89
"ACAD MANAGE REV",12359
"ADDICT RES THEORY",236
"ASIA PAC J TOUR RES",324
"J MARKETING RES",5789
"J R STAT SOC A STAT",198
"AM J SOCIOL",2769
"AM SOCIOL REV",3432
"SCI EDUC",1658
"J HAPPINESS STUD",793
"ORGANIZATION",624
"CULT ORGAN",71
"J YOUTH ADOLESCENCE",1753
"J ADOLESCENCE",1017
"J GERONTOL B-PSYCHOL",1686
"J AGING HEALTH",376
"INT BUS REV",1055
"INT J MANAG REV",393
"SUSTAINABILITY-BASEL",1830
"J CONSULT CLIN PSYCH",6847
"AM J PSYCHIAT",11062
"SEX RELATSH THER",134
"PSYCHO-ONCOLOGY",1756
"J HOMEL SECUR EMERG",62
"AM J PUBLIC HEALTH",7808
"COLL RES LIBR",463
"J ACAD LIBR",517
"J ASSOC INF SYST",1432
"INFORM MANAGE-AMSTER",2505
"NEW IDEAS PSYCHOL",99
"J ADV NURS",3486
"NURS ETHICS",487
"MEM COGNITION",2996
"PSYCHOL REV",6570
"CALIF MANAGE REV",533
"J BUS-BUS MARK",130
"AM BEHAV SCI",259
"J RES ADOLESCENCE",617
"J ADOLESCENT RES",246
"J ADOLESCENT HEALTH",2138
"SOC FORCES",1210
"INT J MENT HEALTH NU",409
"INT J NURS STUD",1497
"STUD EDUC EVAL",93
"REV EDUC RES",1399
"REV LAT AM PSICOL",42
"J ENVIRON PSYCHOL",1257
"J SUBST USE",104
"PSYCHOL ADDICT BEHAV",1515
"EDUC MEAS-ISSUES PRA",98
"PSYCHOMETRIKA",1562
"TEACH TEACH EDUC",1645
"PHI DELTA KAPPAN",66
"COMPUT HUM BEHAV",38252
"SCHOOL PSYCHOL INT",249
"INT J INF TECH DECIS",0
"TECHNOL ECON DEV ECO",271
"RES AGING",235
"INT J SOC PSYCHIATR",285
"SOC PSYCH PSYCH EPID",1318
"OMEGA-J DEATH DYING",202
"J LEADERSH ORG STUD",138
"J MED INTERNET RES",205
"PATIENT EDUC COUNS",2119
"CAN J ADM SCI",79
"J MANAGE STUD",2041
"SOC SCI COMPUT REV",263
"J COMPUT-MEDIAT COMM",1019
"SOC SCI J",96
"J ENG TECHNOL MANAGE",235
"PSYCHOL MUSIC",440
"J RES MUSIC EDUC",346
"J NEUROSCI PSYCHOL E",42
"INNOVATION-ABINGDON",33
"J COLL STUDENT DEV",398
"J DIVERS HIGH EDUC",57
"J DRUG ISSUES",194
"ADDICTION",6051
"AUST J GUID COUNS",46
"EUR ECON REV",306
"ECON LETT",611
"TRANSPORT RES F-TRAF",1149
"J SAFETY RES",801
"EXP CLIN PSYCHOPHARM",445
"COMPR PSYCHIAT",1078
"PSYCHIAT INVEST",121
"BEHAV MODIF",224
"J ANXIETY DISORD",1665
"PRAX KINDERPSYCHOL K",86
"CHILD ABUSE NEGLECT",2422
"J CONFLICT RESOLUT",511
"J POLIT",1424
"EGIT BILIM",147
"EURASIA J MATH SCI T",264
"INT J INTERCULT REL",399
"INT J BILINGUAL",51
"LANG LEARN",969
"GEN HOSP PSYCHIAT",544
"GROUP ORGAN MANAGE",305
"J CHILD FAM STUD",766
"J GEOGR HIGHER EDUC",305
"HIGH EDUC RES DEV",473
"INTERACT STUD",80
"INT J EDUC VOCAT GUI",70
"DRUG ALCOHOL REV",586
"J STUD ALCOHOL DRUGS",2394
"CURR PSYCHIAT REP",241
"J CLIN PSYCHIAT",4053
"ORGAN RES METHODS",653
"J MANAGE",5263
"J SMALL BUS MANAGE",662
"ENTREP REGION DEV",368
"PROD OPER MANAG",219
"MANAGE SCI",7820
"INT J STRESS MANAGE",163
"INT J ADVERT",477
"PSYCHOL MARKET",890
"J SOCIOL",70
"J INTELL DISABIL RES",775
"RES DEV DISABIL",1273
"FRONT PSYCHIATRY",270
"ADICCIONES",133
"CHILD ADOL PSYCH MEN",103
"ADMIN SCI QUART",5021
"J SEX RES",1078
"J HOMOSEXUAL",493
"J MEM LANG",3439
"ASIAN J COMMUN",145
"J EXP SOC PSYCHOL",2816
"EUR REV SOC PSYCHOL",99
"PERS REV",306
"HUM RESOUR MANAGE R",285
"ASIA-PAC EDUC RES",130
"S AFR J ECON MANAG S",50
"ECON RES-EKON ISTRAZ",80
"AM ECON REV",9601
"J NURS EDUC",713
"ANN GEN PSYCHIATR",57
"MED CARE RES REV",316
"APPL RES QUAL LIFE",116
"PSYCHOTHER PSYCH MED",140
"FOREIGN LANG ANN",259
"APPL LINGUIST",577
"COMPUT EDUC",4812
"INT J SCI EDUC",1733
"CONTEMP EDUC PSYCHOL",949
"SECUR J",56
"J RES CRIME DELINQ",887
"LEISURE STUD",197
"J LEISURE RES",387
"LEADERSHIP QUART",1731
"PSYCHOL VIOLENCE",205
"PSYCHOL SCI",9354
"INF SYST E-BUS MANAG",238
"J CHILD PSYCHOL PSYC",4787
"J ATTEN DISORD",435
"Q J EXP PSYCHOL",1249
"PSYCHOL LEARN MOTIV",318
"J SCHOOL PSYCHOL",548
"MEDIA PSYCHOL",386
"PRESENCE-TELEOP VIRT",45
"POLIT ANAL",355
"INT J HUM RESOUR MAN",1408
"TOTAL QUAL MANAG BUS",625
"FAM BUS REV",749
"ENTREP THEORY PRACT",2126
"EUR MANAG J",458
"J ADVERTISING RES",667
"EXP ECON",596
"BEHAV PSYCHOL",91
"MEMORY",870
"J GEN PSYCHOL",110
"J HEALTH ECON",724
"J PSYCHOL",195
"APPL PSYCHOL-INT REV",280
"J ORGAN BEHAV",2376
"MOTIV EMOTION",515
"INT J BEHAV DEV",470
"COMUNICAR",100
"J MEDIA PSYCHOL-GER",94
"ARCH SEX BEHAV",1848
"HARVARD EDUC REV",134
"J TEACH EDUC",493
"J EXP PSYCHOL HUMAN",4172
"INZ EKON",142
"J NURS RES",92
"AM ANTHROPOL",350
"CURR ISSUES TOUR",557
"J ECONOMETRICS",1489
"J VOCAT BEHAV",2381
"J OCCUP ORGAN PSYCH",604
"DEVIANT BEHAV",277
"SOC PROBL",313
"J SUPPLY CHAIN MANAG",828
"J SERV MANAGE",301
"J APPL COMMUN RES",174
"COMMUN MONOGR",405
"J INDIVID DIFFER",115
"J ECON BEHAV ORGAN",834
"PUBLIC CHOICE",391
"QUAL MANAG HEALTH CA",42
"NEW ENGL J MED",1707
"HUM NATURE-INT BIOS",319
"PSYCHOL MEN MASCULIN",359
"CHILD DEV PERSPECT",330
"J INT BUS STUD",4964
"J SUBST ABUSE TREAT",1579
"INT REV RES OPEN DIS",407
"TRANSFORM BUS ECON",63
"IEEE T ENG MANAGE",387
"J OPER MANAG",3629
"QUAL RES",218
"DRUG ALCOHOL DEPEN",4295
"PROF PSYCHOL-RES PR",334
"J COUNS PSYCHOL",1430
"DRUS ISTRAZ",20
"INT J SELECT ASSESS",312
"HUM PERFORM",242
"ANN AM ACAD POLIT SS",164
"RES SOCIAL WORK PRAC",348
"SOC WORK",163
"CURR ANTHROPOL",755
"J PUBLIC ECON",1345
"INT J ENG EDUC",22
"J COMPUT HIGH EDUC",86
"INT J PROD RES",250
"CLOTH TEXT RES J",98
"PROF INFORM",199
"SOC SCI MED",9267
"STUD FAMILY PLANN",187
"ETHOS",89
"EUR J MARKETING",897
"RES THEOR NURS PRACT",49
"J STUD INT EDUC",172
"TEACH HIGH EDUC",336
"LANG TEST",202
"POLIT PSYCHOL",472
"AM J COMMUN PSYCHOL",987
"J COMMUNITY APPL SOC",143
"J EARLY ADOLESCENCE",357
"CLIN PSYCHOL REV",2284
"COGN BEHAV THERAPY",272
"BRIT J PSYCHIAT",5686
"BMJ OPEN",0
"J AGING STUD",289
"AGEING SOC",501
"J STRATEGIC INF SYST",689
"KNOWL MAN RES PRACT",274
"BRAIN COGNITION",928
"STRUCT EQU MODELING",2299
"MIDWIFERY",655
"J COGN PSYCHOL",163
"J EXP PSYCHOL LEARN",5201
"BEHAV THER",920
"SCI ENG ETHICS",233
"CHILD DEV",11462
"SAFETY SCI",561
"ACCIDENT ANAL PREV",5349
"J COGN DEV",322
"COGNITIVE DEV",584
"J MANAGE INFORM SYST",1383
"SOC COGNITION",327
"HEALTH EDUC J",80
"HEALTH EDUC RES",539
"J PSYCHOPATHOL BEHAV",406
"J ECON ISSUES",239
"SEXUALITIES",183
"ADV NURS SCI",156
"MANAGE ORGAN REV",261
"SCI COMMUN",246
"READ WRIT",749
"J PUBLIC RELAT RES",379
"J COMMUN",2136
"S AFR J PSYCHOL",55
"PHILOS PSYCHOL",148
"INFORM RES",326
"ASLIB J INFORM MANAG",240
"RES NURS HEALTH",418
"EUR CHILD ADOLES PSY",596
"MIS QUART",6218
"LONG RANGE PLANN",573
"EPIDEMIOL PSYCH SCI",131
"ACTA PSYCHIAT SCAND",2289
"J RES PERS",1569
"VIOLENCE VICTIMS",679
"J ACAD MARKET SCI",2423
"DISASTER PREV MANAG",144
"INT J DISAST RISK RE",14
"SCIENTOMETRICS",4057
"JPN PSYCHOL RES",73
"JASSS-J ARTIF SOC S",174
"NEUROREHABILITATION",197
"DISABIL REHABIL",1180
"SCHOOL PSYCHOL QUART",391
"J INTERPERS VIOLENCE",1574
"J ABNORM CHILD PSYCH",2362
"J EXP EDUC",187
"NURS EDUC TODAY",1713
"SUICIDE LIFE-THREAT",820
"COGNITIVE THER RES",929
"BEHAV RES THER",5381
"Q J ECON",4280
"ENVIRONMENT",64
"RISK ANAL",1251
"J FAM PSYCHOL",1160
"J SOC PERS RELAT",433
"ELECTRON COMMER RES",220
"BODY IMAGE",919
"SELF IDENTITY",329
"INF ECON POLICY",150
"PSYCHOL ASSESSMENT",1881
"SOC SCI INFORM",70
"AM POLIT SCI REV",2309
"SOC JUSTICE RES",143
"ISR J PSYCHIATR REL",68
"PERS SOC PSYCHOL REV",760
"HUM RESOUR MANAGE-US",683
"J BLACK STUD",52
"J BLACK PSYCHOL",248
"PSYCHOL SERV",103
"SCIENCE",2315
"MARIT ECON LOGIST",191
"EVAL HEALTH PROF",68
"AM ANN DEAF",194
"J DEAF STUD DEAF EDU",376
"J RURAL HEALTH",224
"J EXP CHILD PSYCHOL",2407
"EUR J DEV PSYCHOL",171
"PORTA LINGUARUM",42
"J SECOND LANG WRIT",343
"SYST PRACT ACT RES",97
"J FINANC",4897
"SERV IND J",409
"J FINANC MARK",115
"J FINANC ECON",3420
"J INT MARKETING",674
"INT J EAT DISORDER",2010
"TOP COGN SCI",317
"CAN J PUBLIC HEALTH",320
"CAN J BEHAV SCI",116
"MARKET SCI",1787
"BMC MED EDUC",427
"STUD HIGH EDUC",914
"TRANSPORT POLICY",1071
"TRANSPORT RES REC",1581
"SCHIZOPHR RES",5609
"J HEALTH CARE POOR U",218
"J SCHOOL HEALTH",403
"J BUS ETHICS",5596
"DEMOGRAPHY",1062
"J THEOR APPL EL COMM",93
"J CONSUM RES",6278
"ANN OPER RES",11
"INTERFACES",305
"CROSS-CULT RES",70
"APPL PSYCH MEAS",739
"EXP PSYCHOL",293
"J EXP PSYCHOL GEN",2516
"TYDSKR GEESTESWET",39
"SOC PSYCHOL-GERMANY",136
"NEUROPSYCHOLOGIA",5351
"CAN J EXP PSYCHOL",192
"HARVARD REV PSYCHIAT",130
"RATION SOC",79
"BEHAV ANALYST",120
"J RETAILING",1257
"CHILD YOUTH CARE FOR",137
"EARLY CHILD RES Q",790
"PROG COMM HLTH PARTN",86
"ANNU REV PUBL HEALTH",495
"INTERACT COMPUT",238
"HUM-COMPUT INTERACT",65
"POETICS",263
"ANN PSYCHOL",48
"ELEM SCHOOL J",300
"EUR REV APPL PSYCHOL",71
"J NERV MENT DIS",1084
"GROUP PROCESS INTERG",333
"J CROSS CULT PSYCHOL",752
"INT J PSYCHOL",204
"HEALTH PSYCHOL REV",326
"BRIT J HEALTH PSYCH",337
"AM J HEALTH BEHAV",203
"J MONETARY ECON",900
"J SOC CLIN PSYCHOL",359
"PSYCHOTHER RES",593
"PSYCHOTHERAPY",515
"AM J PSYCHOL",227
"PSYCHOL MED",4971
"TRANSPORT RES C-EMER",2
"TRANSPORT RES A-POL",1769
"VA LAW REV",273
"J LEGAL STUD",126
"INT J HUM-COMPUT INT",429
"INT J HUM-COMPUT ST",552
"PSYCHOL SCI PUBL INT",110
"ACCOUNT AUDIT ACCOUN",699
"BRIT ACCOUNT REV",147
"SCI CULT-UK",75
"SCI TECHNOL HUM VAL",233
"J POLITENESS RES-LAN",59
"MIT SLOAN MANAGE REV",248
"YALE LAW J",774
"COLUMBIA LAW REV",644
"COMMUNITY MENT HLT J",302
"COGNITIVE SCI",937
"J WORLD BUS",1393
"MANAGE LEARN",336
"HUM RELAT",1250
"J SOC ISSUES",719
"REV MANAG SCI",66
"J BEHAV ADDICT",308
"J HEALTH COMMUN",862
"SOCIOL QUART",203
"BRIT FOOD J",26
"INT J AGING HUM DEV",154
"SCI TECHNOL SOC",55
"FUTURE CHILD",207
"INT J HOSP MANAG",2098
"J APPL SOC PSYCHOL",498
"SERV SCI",132
"SYSTEM",597
"LANG LEARN TECHNOL",470
"J CONSUM BEHAV",284
"J INF TECHNOL",510
"J MED LIBR ASSOC",142
"BMC MED RES METHODOL",9
"CAN J AGING",178
"EDUC SCI-THEOR PRACT",222
"TURK PSIKOL DERG",41
"CLIN CHILD FAM PSYCH",374
"INFORM TECHNOL PEOPL",374
"J ORGAN CHANGE MANAG",234
"ANNU REV ORGAN PSYCH",70
"TRANSPORT J",191
"J BUS LOGIST",873
"DECIS SUPPORT SYST",646
"INT J ELECTRON COMM",670
"J SCH VIOLENCE",122
"J COGNITIVE NEUROSCI",4307
"RISK MANAG-UK",10
"J CLIN CHILD ADOLESC",1064
"HARVARD BUS REV",1126
"DEV REV",342
"J BUS PSYCHOL",281
"EDUC PSYCHOL REV",570
"J EDUC COMPUT RES",324
"AGING NEUROPSYCHOL C",233
"J CLIN EXP NEUROPSYC",725
"AUST J PSYCHOL",97
"ARCH CLIN NEUROPSYCH",625
"CLIN NEUROPSYCHOL",578
"INFORM SYST RES",5005
"J PEDIATR NURS",234
"J BEHAV THER EXP PSY",652
"INJURY PREV",416
"J COMPUT ASSIST LEAR",540
"INTERNET RES",692
"HEALTH POLICY",1094
"ATTACH HUM DEV",369
"INT J PSYCHOPHYSIOL",1477
"PSYCHOPHYSIOLOGY",3400
"J SOC SERV RES",86
"VIOLENCE AGAINST WOM",1054
"SUPPORT CARE CANCER",339
"HEALTH QUAL LIFE OUT",798
"MALAYS J LIBR INF SC",68
"LIBR INFORM SCI RES",407
"J SERV RES-US",946
"J GLOB INF TECH MAN",141
"TIJDSCHR COMMUNWET",37
"ACAD-REV LATINOAM AD",46
"BRIT J DEV PSYCHOL",606
"EUR J AGEING",123
"PSYCHOL AGING",2162
"EDUC TREAT CHILD",113
"READ WRIT Q",63
"PREV SCI",505
"ASIA PAC EDUC REV",59
"J ASSOC INF SCI TECH",638
"EXCEPT CHILDREN",364
"KNOWL-BASED SYST",63
"COMPUT LINGUIST",93
"EUR J TEACH EDUC",85
"J SOC SOC WORK RES",22
"EUR J OPER RES",2214
"OMEGA-INT J MANAGE S",1777
"J AIR TRANSP MANAG",931
"TRANSPORTATION",727
"YOUTH SOC",202
"QME-QUANT MARK ECON",119
"RAND J ECON",1003
"J BUS ECON MANAG",77
"DECISION SCI",775
"EXPERT SYST APPL",339
"J AM MED INFORM ASSN",1875
"J OFF STAT",176
"J CRIM JUST",688
"J CONTEMP CRIM JUST",79
"BROOKINGS PAP ECO AC",162
"J CONTING CRISIS MAN",173
"PUBLIC RELAT REV",1101
"ELECTRON LIBR",170
"NORD J PSYCHIAT",200
"ATTEN PERCEPT PSYCHO",859
"BEHAV INFORM TECHNOL",807
"I-PERCEPTION",69
"INT J CLIN HLTH PSYC",161
"ASSESSMENT",738
"INT REV FINANC ANAL",255
"J NONVERBAL BEHAV",266
"J INFORMETR",1248
"DISTANCE EDUC",217
"AFFILIA J WOM SOC WO",109
"J TRANSCULT NURS",153
"CHILD CARE HLTH DEV",404
"CHILD HEALTH CARE",49
"INT J PROD ECON",1089
"BEHAV RES METHODS",1686
"J APPL GERONTOL",210
"CAN J INFORM LIB SCI",31
"SOCIOL SPECTRUM",50
"COGNITIVE PSYCHOL",1774
"AGING MENT HEALTH",722
"INT PSYCHOGERIATR",842
"INT J QUAL METH",102
"MERRILL PALMER QUART",261
"MIS Q EXEC",110
"METACOGN LEARN",152
"ADM POLICY MENT HLTH",692
"J SOCIOLING",81
"ANNU REV ANTHROPOL",321
"SOCIOL HEALTH ILL",705
"YOUTH VIOLENCE JUV J",200
"SWISS J PSYCHOL",56
"INT J BEHAV MED",235
"PROGRAM-ELECTRON LIB",111
"PSYCHOL HEALTH",672
"J INF SCI",297
"J MANAGE INQUIRY",236
"FIELD METHOD",129
"REV WORLD ECON",45
"INT J INCLUSIVE EDUC",222
"CHEM EDUC RES PRACT",522
"J GENET PSYCHOL",137
"SOC PSYCHOL EDUC",151
"FEM PSYCHOL",171
"PUBLIC UNDERST SCI",495
"MANAGE ACCOUNT RES",745
"IMPLEMENT SCI",1384
"J AM COLL HEALTH",487
"AM J MENS HEALTH",110
"J PROD INNOVAT MANAG",1794
"SEX RES SOC POLICY",103
"J GEN INTERN MED",688
"HEALTH AFFAIR",2556
"J RES MATH EDUC",438
"J COMMUNITY PSYCHOL",473
"R&D MANAGE",311
"INT J ACCOUNT INF SY",168
"RES SCI EDUC",465
"J RATION-EMOT COGN-B",95
"HUM ORGAN",60
"J SUSTAIN TOUR",1522
"ENVIRON PLANN B",354
"LANDSCAPE URBAN PLAN",2057
"J LANG SOC PSYCHOL",211
"EVALUATION REV",100
"ASIA-PAC PSYCHIAT",35
"SEX ROLES",1579
"NICOTINE TOB RES",2840
"TRENDS COGN SCI",4990
"VISUAL COMMUN-US",63
"J ELECTRON COMMER RE",364
"GROUP DECIS NEGOT",286
"J EDUC MEAS",370
"QUAL LIFE RES",1769
"ZDRAV VARST",39
"WESTERN J NURS RES",161
"NURS RES",267
"DEPRESS ANXIETY",1012
"ARCH PSYCHIAT NURS",142
"J CHILD ADOLES SUBST",110
"AM J DRUG ALCOHOL AB",410
"RES ORGAN BEHAV",426
"SOCIOLOGY",378
"QUAL INQ",287
"ORGAN BEHAV HUM DEC",1980
"J BEHAV DECIS MAKING",395
"PSYCHOL REP",600
"INT J PUBLIC OPIN R",171
"HEALTH SOC CARE COMM",269
"J ECON PERSPECT",497
"AGGRESS VIOLENT BEH",543
"PSYCHOL CRIME LAW",339
"HUM RESOUR MANAG J",217
"QUAL QUANT",334
"EUR J COMMUN",203
"POLIT COMMUN",468
"CREAT INNOV MANAG",125
"WORK EMPLOY SOC",477
"EUR J WORK ORGAN PSY",364
"AUST NZ J PSYCHIAT",881
"ILR REV",337
"SURV RES METHODS-GER",56
"J MASS COMMUN Q",504
"STRATEG ORGAN",241
"POLICY SCI",122
"PUBLIC ADMIN REV",1520
"INT J IND ORGAN",410
"EUR MANAG REV",109
"HEALTH RISK SOC",293
"SOC SCI RES",517
"J SPEC EDUC",153
"BEHAV DISORDERS",100
"POLAR-POLIT LEG ANTH",41
"SOC SEMIOT",24
"J ECON EDUC",122
"J AM STAT ASSOC",664
"CLIN PSYCHOL-SCI PR",420
"RES AUTISM SPECT DIS",762
"MED CARE",2218
"TECHNOL PEDAGOG EDUC",96
"AUSTRALAS J EDUC TEC",283
"INT J LANG COMM DIS",183
"J APPL DEV PSYCHOL",396
"J MIX METHOD RES",155
"EDUC RES-UK",84
"J CULT ECON-UK",71
"ORGAN STUD",1637
"PSYCHIAT PRAX",211
"ENERG EFFIC",286
"ENERG POLICY",14080
"ECON J",921
"INT COMMUN GAZ",129
"HUM COMMUN RES",662
"SUBST ABUS",313
"ANNU REV CLIN PSYCHO",490
"SOC SCI QUART",246
"NEUROIMAGE",5808
"J FAM VIOLENCE",699
"J COMP PSYCHOL",391
"BIOL PSYCHOL",1705
"J PSYCHOPHYSIOL",223
"DISCOURSE CONTEXT ME",40
"J MENT HEALTH",279
"BRIT J MANAGE",551
"REV PUBLIC PERS ADM",180
"J PUBL ADM RES THEOR",1108
"EMOTION",1674
"SOC INFLUENCE",71
"WORK STRESS",360
"J PERS",1456
"INTERNET HIGH EDUC",698
"IND CORP CHANGE",570
"BMC MED INFORM DECIS",7
"SOCIOL EDUC",282
"EAT BEHAV",475
"BRIT J PSYCHOL",510
"AN PSICOL-SPAIN",195
"EDUC STUD-UK",80
"SUPPLY CHAIN MANAG",1200
"CHIN J COMMUN",53
"BALT J MANAG",24
"CREATIVITY RES J",987
"EUR J PSYCHOL APPL L",58
"HEALTH PROMOT INT",438
"INT J METH PSYCH RES",370
"NORD PSYCHOL",16
"APPL COGNITIVE PSYCH",801
"J HUMANIST PSYCHOL",58
"ANNU REV PSYCHOL",1233
"COMMUNICATIONS-GER",72
"CRIM JUSTICE BEHAV",1115
"J EXP PSYCHOL-APPL",324
"READ RES QUART",563
"J RES READ",235
"CLIN PSYCHOL PSYCHOT",342
"J TEACH PHYS EDUC",264
"EUR PHYS EDUC REV",126
"CYBERPSYCH BEH SOC N",1047
"SCI PUBL POLICY",322
"LIBR QUART",182
"CRIMINOLOGY",2173
"CLIN PSYCHOL-UK",35
"COGN PROCESS",123
"PSYCHOSOM MED",1628
"CHILD ADOL PSYCH CL",122
"EUR J PSYCHOL EDUC",186
"J CLEAN PROD",1122
"TECHNOL ANAL STRATEG",550
"IND RELAT",247
"J IND ECON",268
"J POLIT ECON",3355
"J HEALTHC MANAG",37
"SOCIOL INQ",37
"ACAD MANAG LEARN EDU",384
"NURS INQ",171
"J TRAVEL TOUR MARK",923
"Z PSYCHOSOM MED PSYC",51
